id;title;category;baseServings;prepTime;difficulty;imageUrl;ingredients;steps
1;Le Fondu;Menu Classique;1;25 min;Facile;/images/recipes/fondu.jpg;"Tomme de savoie AOP:1:tranche;Oignons Caramélisés:1:c_a_s;Salade:1:feuille;Lard Fumé:1:tranche;Tomates confites:1:c_a_c;Bœuf Aubrac:1:pièce";Étape 1 | Étape 2
2;Le Dunkerquois;Menu Classique;1;26 min;Facile;/images/recipes/dunkerquois.jpg;"Maroilles AOP:1:tranche; Pickels d'oignons rouges:1:c_a_s;Salade:1:feuille;Lard Fumé:1:tranche;Bœuf Aubrac:1:pièce";Étape 1 | Étape 2
3;Le Champi;Menu Classique;1;27 min;Facile;/images/recipes/champi.jpg;"Fourme d'Ambert AOP:1:tranche; Poêlée de champignons:1:c_a_s;Roquette:1:feuille; Oignons caramélisés:1:c_a_s; Bœuf Aubrac:1:Pièce";Étape 1 | Étape 2
4;Le Calendos;Menu Classique;1;28 min;Facile;/images/recipes/calendos.jpg;"Camembert AOP:1:tranche; Noix:1:c_a_s;Pickles de pomme:1:c_a_s;Salade:1:feuille; Bœuf Aubrac:1:pièce";Étape 1 | Étape 2
5;Le Comtois;Menu Classique;1;29 min;Facile;/images/recipes/comtois.jpg;"Comté AOP:1:tranche; Pickels d'oignons rouges:1:c_a_s;Salade:1:feuille; Tomates confites:1:c_a_c; Bœuf Aubrac:1:pièce";Étape 1 | Étape 2
6;Le Cheddar;Menu Classique;1;30 min;Facile;/images/recipes/cheddar.jpg;"Cheddar mâturé:1:tranche;Oignons Caramélisés:1:c_a_s;Salade:1:feuille;Pickels de cornichons:1:c_a_c;Bœuf Aubrac:1:pièce";Étape 1 | Étape 2
7;Le butternut;Burgers du moment;1;31 min;Facile;/images/recipes/butternut.png;"Butternut rôti au romarin:1:tranche;Emmental au lait cru:1:tranche;Noisettes torréfiées:1:c_a_s;Roquette:1:feuille;Oignons caramélisés:1:c_a_s;Mayonnaise au piment d'espelette:1:c_a_c";Étape 1 | Étape 2
8;Le Brie;Burgers du moment;1;32 min;Facile;/images/recipes/brie.png;"Brie de meaux au lait cru AOP 1/2 affiné:1:tranche;Mortadelle truffe et pistache:1:tranche;Sauce à la truffe noir:1:c_a_s;Roquette:1:feuille;Bœuf aubrac ou Galette de PDT au Comté maison:1:pièce";Étape 1 | Étape 2
9;Le Reblochon;Burgers du moment;1;33 min;Facile;/images/recipes/reblochon.png;"Reblochon au lait cru AOP:1:tranche;Oignons blanc et ail cuisinés au vin blanc:1:c_a_s;Lard fumé:1:tranche;Rondelles de PDT rôti au thym:1:portion;Mâche:1:feuille;Crème aux herbes:1:c_a_s;Bœuf Aubrac ou galette de PDT au Comté maison:1:pièce";Étape 1 | Étape 2
10;Le Savoyard;Burgers du moment;1;34 min;Facile;/images/recipes/savoyard.png;"Abondance AOP:1:tranche;Chutney d'échalotes au miel de montagne:1:c_a_s;Pousses d'épinard:1:feuille;Mayonnaise à la moutarde à l'ancienne:1:c_a_c;Bœuf Aubrac ou galette de PDT au Comté maison:1:pièce";Étape 1 | Étape 2
11;Le Saint-Nectaire;Burgers du moment;1;35 min;Facile;/images/recipes/saint-nectaire.png;"Saint Nectaire fermier au lait cru AOP:1:tranche;Pickels de choux rouges:1:c_a_s;Confit de pruneaux d'Agen:1:c_a_c;Roquette:1:feuille;Mayonnaise maison:1:c_a_c;Bœuf Aubrac ou galette de PDT au Comté maison:1:pièce";Étape 1 | Étape 2
12;L'Italien;Burgers du moment;1;36 min;Facile;/images/recipes/italien.png;"Provola Fumé:1:tranche;Jambon de de Parme AOP affiné 14 mois:1:tranche;Jeunes pousses:1:feuille;Pesto à la Pistache maison:1:c_a_s;Mayonnaise maison:1:c_a_c";Étape 1 | Étape 2
13;L'Épicé;Burgers du moment;1;37 min;Facile;/images/recipes/epice.png;"Effiloché de dinde épicé en longue cuisson basse température:1:portion;Noix de cajou torréfiées:1:c_a_s;Emmental au lait cru:1:tranche;Sauce curry madras:1:c_a_s;Oignons rouges:1:portion;Mâche:1:feuille;Bœuf aubrac ou galette de PDT au Comté:1:pièce";Étape 1 | Étape 2
14;Le Basque;Burgers du moment;1;38 min;Facile;/images/recipes/basque.png;"Tomme Basque de brebis et chèvre médaillé d'or:1:tranche;Chorizo de Bellota Ibérique:1:tranche;Poêlée de poivrons et oignons:1:c_a_s;Jeunes pousses:1:feuille;Mayonnaise au piment d'Espelette!:1:c_a_c";Étape 1 | Étape 2
15;Le Tourangeau;Burgers du moment;1;39 min;Facile;/images/recipes/tourangeau.png;"Fromage de chèvre Sainte maure de Touraine AOP:1:tranche;Courgettes rôties aux herbes de Provence:1:portion;Cebettes:1:c_a_s;Mesclun:1:feuille;Sauce moutarde et miel:1:c_a_s";Étape 1 | Étape 2
16;L'Aubergine Parmesan;Burgers du moment;1;40 min;Facile;/images/recipes/aubergine.png;"Parmesan AOP affiné 12 mois minimum:1:tranche;Aubergine grillé:1:portion;Oignons rouges:1:portion;Roquette:1:feuille;Pesto rouge maison:1:c_a_s;Mayonnaise maison:1:c_a_c";Étape 1 | Étape 2
17;Le Brebis-Figue;Burgers du moment;1;41 min;Facile;/images/recipes/brebis-figue.png;"Tomme de pur brebis Basque:1:tranche;Figues de Solliès-Pont:1:portion;Confit d'oignons au vin rouge:1:c_a_s;Noix:1:c_a_s;Jeunes pousses:1:feuille;Mayonnaise maison:1:c_a_c";Étape 1 | Étape 2
18;Le Raclette;Burgers du moment;1;42 min;Facile;/images/recipes/raclette.png;"Raclette de Savoie au lait cru IGP:1:tranche;Saucisse de Morteau IGP label rouge:1:tranche;Crème à l'ail des ours:1:c_a_s;Cebettes:1:c_a_s;Jeunes Pousses:1:feuille;Bœuf Aubrac ou Galette de PDT au Comté maison:1:pièce";Étape 1 | Étape 2
19;Le Brillat-Savarin;Burgers du moment;1;43 min;Facile;/images/recipes/brillat-savarin.png;"Brillat-Savarin Affiné IGP:1:tranche;Jambon blanc italien à la truffe:1:tranche;Sauce à la truffe noir:1:c_a_s;Oignons blanc:1:portion;Mâche:1:feuille;Bœuf Aubrac ou Galette de PDT au Comté maison:1:pièce";Étape 1 | Étape 2
20;Le Morbier;Burgers du moment;1;44 min;Facile;/images/recipes/morbier.png;"Morbier AOP:1:tranche;Chutney pommes/échalotes au miel de montagne maison:1:c_a_s;Lard fumé:1:tranche;Mayonnaise ciboulette maison:1:c_a_c;Jeunes pousses:1:feuille;Boeuf Aubrac ou galette de PDT au Comté maison:1:pièce";Étape 1 | Étape 2
21;Le Savoyard au Reblochon;Burgers du moment;1;45 min;Facile;/images/recipes/savoyard-au-reblochon.png;"Reblochon AOP:1:tranche;Tranche de Boeuf séché de Savoie:1:tranche;Sauce à l'ail Noir et au persil:1:c_a_s;Oignons blancs:1:portion;Roquette:1:feuille;Boeuf Aubrac ou Galette de PDT au Comté maison:1:pièce";Étape 1 | Étape 2
22;Le Cantal-Magret;Burgers du moment;1;46 min;Facile;/images/recipes/cantal-magret.png;"Cantal entre-deux AOP:1:tranche;Tranche de magret de canard fumé:1:tranche;Sauce au poivre vert de Kampot et armagnac:1:c_a_s;Pousses d'épinard:1:feuille;Oignons caramélisés:1:c_a_s;Boeuf Aubrac ou galette de PDT au Comté maison:1:pièce";Étape 1 | Étape 2
23;Le Chèvre Basque;Burgers du moment;1;47 min;Facile;/images/recipes/chevre-basque.png;"Tomme de chèvre Basque:1:tranche;Pickels de betterave chioggia:1:c_a_s;Noix:1:c_a_s;Sauce miel et moutarde à l'ancienne:1:c_a_s;Jeunes pousses:1:feuille;Boeuf Aubrac ou galette de PDT au Comté maison:1:pièce";Étape 1 | Étape 2
24;Le Suisse;Burgers du moment;1;48 min;Facile;/images/recipes/suisse.png;"Gruyère Suisse au lait cru AOP:1:tranche;Saucisse de Montbéliard IGP:1:tranche;Sauce Tartare maison:1:c_a_s;Roquette:1:feuille;Bœuf Aubrac ou galette de PDT au Comté AOP maison:1:pièce";Étape 1 | Étape 2
25;Le Mexicain;Burgers du moment;1;49 min;Facile;/images/recipes/mexicain.png;"Effiloché de porc basse température façon carnitas:1:portion;Manchego AOP 12 mois d'affinage:1:tranche;Pico de Gallo:1:c_a_s;Pickels d'oignons rouges à la canelle:1:c_a_s;Mayo Chipotle maison:1:c_a_c;Jeunes pousses:1:feuille";Étape 1 | Étape 2
26;Le Comtois d'Asperges;Burgers du moment;1;50 min;Facile;/images/recipes/comtois-asperges.png;"Comté AOP:1:tranche;Asperges snackées:1:portion;Lard fumé:1:tranche;Mayo citron persil maison:1:c_a_c;Roquette:1:feuille;Boeuf Aubrac:1:pièce";Étape 1 | Étape 2
27;L'Ibérique;Burgers du moment;1;51 min;Facile;/images/recipes/iberique.png;"Manchego AOP affinage 12 mois:1:tranche;Chorizo de Bellota Ibérique:1:tranche;Poivrons en marinade maison:1:c_a_s;Sauce paprika fumé et ail maison:1:c_a_s;Jeunes pousses:1:feuille;Boeuf Aubrac:1:pièce";Étape 1 | Étape 2
28;Le Grec;Burgers du moment;1;52 min;Facile;/images/recipes/grec.png;"Fêta AOP:1:tranche;Mélange Tomates et olives noires:1:portion;Oignons rouges:1:portion;Tzatzíki maison:1:c_a_s;Jeunes pousses:1:feuille;Bœuf Aubrac:1:pièce";Étape 1 | Étape 2
29;Le Cheddar-Avocat;Burgers du moment;1;53 min;Facile;/images/recipes/cheddar-avocat.png;"Cheddar Maturé:1:tranche;Avocat:1:portion;Mayo citron vert et piment d'espelette maison:1:c_a_c;Lard fumé:1:tranche;Oignons rouges:1:portion;Roquette:1:feuille;Bœuf Aubrac:1:pièce";Étape 1 | Étape 2
30;Le Bleu-Betterave;Burgers du moment;1;54 min;Facile;/images/recipes/bleu-betterave.png;"Bleu d'Auvergne AOP:1:tranche;Mayo à la betterave maison:1:c_a_c;Noix:1:c_a_s;Micro pousses de betteraves:1:feuille;Mâche:1:feuille;Bœuf:1:pièce";Étape 1 | Étape 2
31;Le Tourangeau-Figue;Burgers du moment;1;55 min;Facile;/images/recipes/tourangeau-figue.png;"Chèvre Sainte-Maure-de-Tourraine AOP:1:tranche;Figues de Solliès-Pont:1:portion;Jambon de Parmes AOP:1:tranche;Mayonnaise au sésame et ses graines torréfiés maison:1:c_a_c;Roquette:1:feuille";Étape 1 | Étape 2
32;Le Gorgonzola-Poire;Burgers du moment;1;56 min;Facile;/images/recipes/gorgonzola-poire.png;"Gorgonzola AOP:1:tranche;Tartare de Poires et Noix:1:portion;Sauce au poivre de Timut:1:c_a_s;Mesclun:1:feuille;Boeuf Fleur d'Occitanie ou galette de PDT au Comté maison:1:pièce";Étape 1 | Étape 2
33;Le Savoyard-Butternut;Burgers du moment;1;57 min;Facile;/images/recipes/savoyard-butternut.png;"Abondance AOP:1:tranche;Butternut rôti:1:portion;Noisettes torréfiés:1:c_a_s;Sauce Curry maison:1:c_a_s;Roquette:1:feuille;Boeuf Fleur d'Occitanie:1:pièce";Étape 1 | Étape 2
34;Le Mont d'Or;Burgers du moment;1;58 min;Facile;/images/recipes/mont-dor.png;"Mont d'or AOP:1:tranche;Rosette Label Rouge:1:tranche;Confit d'échalotes au vin blanc:1:c_a_s;Sauce à l'ail:1:c_a_s;Mâche:1:feuille;Boeuf Fleur d'Occtanie:1:pièce";Étape 1 | Étape 2
35;Le Brie-Truffe;Burgers du moment;1;59 min;Facile;/images/recipes/brie-truffe.png;"Brie à la truffe noire:1:tranche;Chutney d'oignons rouges au Miel/Balsamique:1:c_a_s;Sauce à la truffe noire:1:c_a_s;Amandes torréfiés:1:c_a_s;Roquette:1:feuille;Boeuf:1:pièce";Étape 1 | Étape 2
36;Le Grison-Raclette;Burgers du moment;1;1:00 min;Facile;/images/recipes/grison-raclette.png;"Raclette à la viande des grisons:1:tranche;Mayo ciboulette:1:c_a_c;Tranche de viande des grisons:1:tranche;Pickles de moutardes:1:c_a_s;Oignons blanc:1:portion;Jeunes pousses:1:feuille;Boeuf:1:pièce";Étape 1 | Étape 2
37;Le Flamand;Burgers du moment;1;1:01 min;Facile;/images/recipes/flamand.png;"Effiloché de bœuf Aubrac façon Carbonnade Flamande:1:portion;Gouda extra extra vieux:1:tranche;Pickles de carottes:1:c_a_s;Mayo maison:1:c_a_c;Oignons Blanc:1:portion;Jeunes pousses:1:feuille";Étape 1 | Étape 2
38;Le Franc-Comtois au Morbier;Burgers du moment;1;1:02 min;Facile;/images/recipes/franc-comtois-morbier.png;"Morbier AOP:1:tranche;Sauce au Lard fumé maison:1:c_a_s;Noix:1:c_a_s;Oignons caramélisés:1:c_a_s;Roquette:1:feuille;Boeuf Aubrac:1:pièce";Étape 1 | Étape 2
39;L'Italien Piquant;Burgers du moment;1;1:03 min;Facile;/images/recipes/italien-piquant.png;"Provolone piquant:1:tranche;Spianata:1:tranche;Mayonnaise au pesto rouge d'amandes croquantes maison:1:c_a_c;Roquette:1:feuille;Boeuf Aubrac:1:pièce";Étape 1 | Étape 2
40;Le Cévenol au Pélardon;Burgers du moment;1;1:04 min;Facile;/images/recipes/cevenol-pelardon.png;"Pélardon AOP (Chèvre):1:tranche;Sauce au Miel et Thym:1:c_a_s;Amandes torréfiées:1:c_a_s;Oignons doux:1:portion;Jeunes pousses:1:feuille;Boeuf Aubrac:1:pièce";Étape 1 | Étape 2
41;Le Normand au Pont l'Évêque;Burgers du moment;1;1:05 min;Facile;/images/recipes/normand-pont-leveque.png;"Pont l'évêque AOP:1:tranche;Oignons confits au Cidre:1:c_a_s;Sarrasin torréfié:1:c_a_s;Mayonnaise monté au vinaigre de cidre maison:1:c_a_c;Mâche:1:feuille;Boeuf Aubrac:1:pièce";Étape 1 | Étape 2
42;Le Champenois à l'Abricot;Burgers du moment;1;1:06 min;Facile;/images/recipes/champenois-abricot.png;"Chaource AOP:1:tranche;Abricots de Solliès-Pont rôti au Miel:1:portion;Noix:1:c_a_s;Roquette:1:feuille;Sauce au thym:1:c_a_s;Boeuf Aubrac:1:pièce";Étape 1 | Étape 2
43;Le Provençal Jaune;Burgers du moment;1;1:07 min;Facile;/images/recipes/provencal-jaune.png;"Mozzarella:1:tranche;Tomates jaunes de Provence:1:portion;Pignons de pins torréfiés:1:c_a_s;Sauce au basilic maison:1:c_a_s;Roquette:1:feuille;Bœuf Aubrac:1:pièce";Étape 1 | Étape 2
44;Le Méditerranéen au Zaatar;Burgers du moment;1;1:08 min;Facile;/images/recipes/mediterraneen-zaatar.png;"Féta AOP:1:tranche;Aubergine rôti au Zaataar:1:portion;Houmous maison:1:c_a_s;Sauce à l'ail maison:1:c_a_s;Oignons rouges:1:portion;Jeunes pousse:1:feuille;Boeuf Aubrac:1:pièce";Étape 1 | Étape 2
45;Le Savoyard Tartare;Burgers du moment;1;1:09 min;Facile;/images/recipes/savoyard-tartare.png;"Abondance AOP:1:tranche;Lard fumé:1:tranche;Sauce Tartare maison (🌱cornichons, câpres, echalottes, persil, estragon, ciboulette🌱):1:c_a_s;Roquette:1:feuille;Boeuf Aubrac:1:pièce";Étape 1 | Étape 2
46;Le Provençal à la Figue;Burgers du moment;1;1:10 min;Facile;/images/recipes/provencal-figue.png;"Chèvre cendré affiné @gaec_les_belles_de_provence La Crau:1:tranche;Figue de Solliès-Pont:1:portion;Noix:1:c_a_s;Sauce Miel/Thym. Miel de Maquis IGP de la Miellerie de Solliès:1:c_a_s;Roquette:1:feuille;Boeuf Aubrac:1:pièce";Étape 1 | Étape 2
47;L'Italien au Chianti;Burgers du moment;1;1:11 min;Facile;/images/recipes/italien-chianti.png;"Gorgonzolla AOP:1:tranche;Jambon blanc Italien aux herbes:1:tranche;Mayo aux noix maison:1:c_a_c;Confit d'oignons au Chianti (vin rouge italien):1:c_a_s;Roquette:1:feuille;Bœuf Aubrac:1:pièce";Étape 1 | Étape 2
48;Le Mont d'Or à l'Ail des Ours;Burgers du moment;1;1:12 min;Facile;/images/recipes/mont-dor-ail-des-ours.png;"Mont d'or AOP:1:tranche;Lard fumé:1:tranche;Crème à l'ail des ours:1:c_a_s;Cebettes:1:portion;Mâche:1:feuille;Bœuf Aubrac:1:pièce";Étape 1 | Étape 2
49;Le Savoyard au Poivre;Burgers du moment;1;1:13 min;Facile;/images/recipes/savoyard-poivre.png;"Raclette de Savoie IGP:1:tranche;Saucisse de Montbéliard IGP:1:portion;Sauce au poivre 5 Baies:1:c_a_s;Confit d'échalotes au vin blanc de Savoie.:1:c_a_s;Roquette:1:feuille;Boeuf Aubrac:1:pièce";Étape 1 | Étape 2
50;L'Italien à la Truffe;Burgers du moment;1;1:14 min;Facile;/images/recipes/italien-truffe.png;"Pecorino truffé:1:tranche;Mayo à la truffe maison:1:c_a_c;Jambon Blanc:1:tranche;Chutney d'oignons rouges Miel/Balsamique maison:1:c_a_s;Roquette:1:feuille;Boeuf Aubrac:1:pièce";Étape 1 | Étape 2
51;Le Ch'ti au Bergues;Burgers du moment;1;1:15 min;Facile;/images/recipes/chti-bergues.png;"Fromage de Bergues Fermier:1:tranche;Confit d'oignons à la bière:1:c_a_s;Lard fumé de cochons de plein air:1:tranche;Mayo maison:1:c_a_c;Roquette:1:feuille;Boeuf Aubrac:1:pièce";Étape 1 | Étape 2
52;Le Savoyard au Poivre Vert;Burgers du moment;1;1:16 min;Facile;/images/recipes/savoyard-poivre-vert.png;"Raclette à l'ail des Ours:1:tranche;Sauce au poivre vert de Kerala maison:1:c_a_s;Noix:1:c_a_s;Oignons Blanc:1:portion;Roquette:1:feuille;Boeuf Aubrac:1:pièce";Étape 1 | Étape 2
53;Le Tourangeau au Chèvre;Burgers du moment;1;1:17 min;Facile;/images/recipes/tourangeau-chevre.png;"Chèvre Sainte-Maure-de-Tourraine AOP:1:tranche;Confit d'oignons miel et vinaigre de framboises:1:c_a_s;Amandes torréfiées:1:c_a_s;Sauce au Thym maison:1:c_a_s;Roquette:1:feuille;Boeuf Aubrac:1:pièce";Étape 1 | Étape 2
54;L'Italien au Taleggio;Burgers du moment;1;1:18 min;Facile;/images/recipes/italien-taleggio.png;"Taleggio AOP:1:tranche;Mortadelle de Bologne IGP:1:tranche;Mayo au Pesto vert à la pistache maison:1:c_a_c;Crème de Balsamique:1:c_a_s;Roquette:1:feuille;Oignons rouges:1:portion;Bœuf Aubrac:1:pièce";Étape 1 | Étape 2
55;Le Jurassien Mexicain;Burgers du moment;1;1:19 min;Facile;/images/recipes/jurassien-mexicain.png;"Comté AOP:1:tranche;Lard fumé :1:tranche;Guacamole maison :1:c_a_s;Mayo Citron vert et piment d'espelette:1:c_a_c;Oignon Rouge:1:portion;Roquette:1:feuille;Bœuf Aubrac:1:pièce";Étape 1 | Étape 2
56;Le Corse à la Pietra;Burgers du moment;1;1:20 min;Facile;/images/recipes/corse-pietra.png;"Tomme de Brebis Corse:1:tranche;Coppa Corse:1:tranche;Oignons confits à la Pietra:1:c_a_s;Mayo maison aux tomates confites:1:c_a_c;Roquette:1:feuille;Bœuf Aubrac.:1:pièce";Étape 1 | Étape 2
57;Le Savoyard aux Grisons;Burgers du moment;1;1:21 min;Facile;/images/recipes/savoyard-grisons.png;"Abondance AOP:1:tranche;Viande des grisons:1:tranche;Sauce ail et ciboulette:1:c_a_s;Cebettes:1:portion;Pousses d'épinards:1:feuille;Bœuf Aubrac:1:pièce";Étape 1 | Étape 2
58;Le GOAT;Burgers du moment;1;1:22 min;Facile;/images/recipes/goat.jpg;"Parmesan AOP:1:tranche;Sauce au Basilic:1:c_a_s;Lard Fumé:1:tranche;Tomates jaunes:1:portion;Oignons Rouges:1:portion;Roquette:1:feuille;Bœuf Aubrac:1:pièce";Étape 1 | Étape 2